,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Adipor2,-0.113,-0.229,0.114,0.0,13,5,8,-0.402
Rorc,-0.113,-0.431,0.062,0.0,11,4,6,0.852
Fam229b,-0.113,-0.238,0.009,0.0,12,3,7,0.257
Ppp1r35,-0.113,-0.332,-0.042,0.0,12,2,7,-0.116
Epc2,-0.113,-0.135,0.041,0.0,13,4,8,-0.574
Rpl22,-0.113,-0.164,-0.051,0.0,13,1,8,-0.941
Csrp2,-0.113,-0.214,-0.081,0.0,13,1,8,0.392
Hps5,-0.113,-0.364,0.15,0.0,12,4,8,-1.337
Upf3a,-0.113,-0.151,-0.009,0.0,13,3,8,-0.457
Ifrd1,-0.113,-0.319,0.032,0.0,13,5,8,-1.407
Ddx58,-0.113,-0.386,0.184,0.0006,11,5,8,-1.552
Eepd1,-0.114,-0.453,0.032,0.0,10,4,7,-2.034
Smarcb1,-0.114,-0.141,-0.002,0.0,13,3,8,0.072
Inip,-0.114,-0.21,0.026,0.0,12,4,7,0.003
Hmgn1,-0.114,-0.171,-0.084,0.0,13,0,8,-1.239
Smndc1,-0.114,-0.17,-0.056,0.0,13,2,8,-0.751
Ngdn,-0.114,-0.26,-0.058,0.0,13,1,8,-0.257
Nsmce1,-0.114,-0.222,0.019,0.0,13,4,8,-0.02
Cenpw,-0.114,-0.315,0.028,0.0,11,3,7,-0.416
Polg2,-0.114,-0.339,0.095,0.0,11,3,6,-0.762
Eapp,-0.114,-0.167,-0.005,0.0,13,3,8,-0.039
Ccdc9,-0.114,-0.211,0.005,0.0,13,4,8,-0.93
Ebna1bp2,-0.114,-0.205,0.008,0.0,13,4,8,-0.432
Zfp51,-0.114,-0.218,-0.023,0.0,10,1,6,-0.468
Rfesd,-0.114,-0.148,0.0,0.0,13,4,8,0.423
Rbm3,-0.115,-0.186,-0.041,0.0,13,0,8,0.009
Wdr55,-0.115,-0.237,0.062,0.0,12,4,7,0.82
Churc1,-0.115,-0.147,-0.024,0.0,13,2,8,0.659
Enkd1,-0.115,-0.165,-0.078,0.0005,11,2,6,-0.52
Rgs20,-0.115,-0.359,0.68,0.0811,10,4,6,2.161
Pomc,-0.115,-0.223,-0.088,0.0,11,1,6,0.985
Rimklb,-0.115,-0.2,0.152,0.0,10,4,5,0.413
Kif22,-0.115,-0.179,0.045,0.0,13,5,8,0.33
Snta1,-0.115,-0.266,0.025,0.0,12,5,7,-2.486
Rasl11a,-0.115,-0.42,0.108,0.0,10,3,5,-1.454
Ralb,-0.115,-0.253,0.042,0.0,13,6,8,-0.843
Dynlt1f,-0.115,-0.404,-0.047,0.0,10,0,6,-0.91
Fam50a,-0.116,-0.19,-0.038,0.0,13,3,8,-0.586
Mrpl24,-0.116,-0.331,-0.051,0.0,13,1,8,-0.176
5430416N02Rik,-0.116,-0.421,0.013,0.0,12,3,7,0.339
Entpd6,-0.116,-0.491,0.016,0.0,13,4,8,0.215
Mtif3,-0.116,-0.808,-0.051,0.0,12,2,7,-0.029
Rwdd3,-0.116,-0.327,0.296,0.0005,11,5,6,-0.005
Dtnbp1,-0.116,-0.146,-0.053,0.0,13,2,8,-0.138
Tceal3,-0.116,-0.192,0.019,0.0,13,4,8,1.059
Mvp,-0.116,-0.267,0.051,0.0,13,4,8,-0.647
Klhl5,-0.116,-0.374,0.3,0.0074,10,3,6,-3.09
Arpin,-0.117,-0.179,-0.029,0.0,10,1,5,0.06
Dgkg,-0.117,-0.206,0.089,0.0002,11,4,6,1.47
Cdk5rap1,-0.117,-0.371,0.088,0.0022,12,4,7,0.097
Fam3c,-0.117,-0.152,0.044,0.0,13,5,8,-1.528
Gstp1,-0.117,-0.163,-0.044,0.0,13,2,8,0.125
Plat,-0.117,-0.37,0.181,0.0,13,6,8,-2.889
Lage3,-0.117,-0.147,0.001,0.0,13,4,8,-0.871
Lrrc27,-0.117,-0.203,0.17,0.0,10,4,6,1.161
Pcdhga12,-0.117,-0.268,0.115,0.0,10,4,6,-0.473
H2afz,-0.117,-0.179,-0.028,0.0,12,2,7,-0.015
Mcm7,-0.117,-0.802,-0.046,0.0,12,2,7,-1.389
Krr1,-0.117,-0.213,0.008,0.0,13,4,8,-0.29
Stmn1,-0.117,-0.177,0.052,0.0,13,4,8,0.812
Rps28,-0.117,-0.216,-0.041,0.0,13,1,8,-0.423
Tada2a,-0.117,-0.278,-0.008,0.0,13,3,8,-0.543
Prima1,-0.118,-0.21,0.312,0.0038,12,4,7,0.655
Abca1,-0.118,-0.488,0.022,0.0,12,3,8,-3.468
Endog,-0.118,-0.173,0.104,0.0,12,3,7,0.26
Echdc2,-0.118,-0.718,0.058,0.0,10,3,6,-0.679
Rnf113a2,-0.118,-0.149,0.019,0.0,12,4,7,-0.43
D11Wsu47e,-0.118,-0.286,0.139,0.0,12,4,7,-0.457
Itga2b,-0.118,-0.25,-0.015,0.0008,12,2,7,-0.056
Zbtb25,-0.119,-0.173,-0.007,0.0,11,2,6,-0.107
Tbc1d15,-0.119,-0.189,0.037,0.0,13,6,8,-1.001
Rhoc,-0.119,-0.176,-0.011,0.0,13,2,8,-1.3
Gba,-0.119,-0.227,0.194,0.0,13,5,8,-0.657
Sec61g,-0.119,-0.194,-0.018,0.0,13,3,8,-0.114
Snrpa,-0.119,-0.136,-0.061,0.0,13,2,8,-0.046
Kank2,-0.119,-0.209,-0.024,0.0,10,2,6,-2.438
Tmem108,-0.119,-0.191,0.155,0.0,13,4,8,1.612
Rps16,-0.119,-0.23,-0.03,0.0,13,1,8,-0.477
Cdc26,-0.119,-0.137,-0.029,0.0,13,1,8,-0.876
Ctso,-0.119,-0.382,-0.051,0.0,13,3,8,-2.535
Pelo,-0.119,-0.188,0.122,0.0,11,4,6,-0.233
Orc6,-0.12,-0.165,0.123,0.0,13,4,8,-0.048
Adam17,-0.12,-0.792,0.132,0.0,13,4,8,-2.629
Psat1,-0.12,-0.384,-0.018,0.0,12,3,7,-2.426
2700038G22Rik,-0.12,-0.271,-0.027,0.0,10,2,5,-0.147
Smc4,-0.12,-0.338,0.008,0.0,12,3,7,-2.005
Tamm41,-0.12,-0.262,-0.032,0.0,11,1,6,0.148
Kcnh8,-0.12,-0.435,0.171,0.0009,12,5,7,-1.885
Flrt3,-0.12,-0.25,0.216,0.0,12,4,8,-1.798
Fam204a,-0.12,-0.186,-0.033,0.0,11,2,6,-0.345
Leng1,-0.12,-0.243,-0.035,0.0,13,2,8,-0.503
Gstm6,-0.12,-0.152,0.197,0.0,11,3,7,0.575
Gtf3a,-0.12,-0.176,0.053,0.0,12,4,7,0.193
Safb,-0.12,-0.229,0.026,0.0,13,5,8,-0.099
Tsc22d4,-0.121,-0.179,0.038,0.0,13,4,8,-2.523
Vrk1,-0.121,-0.359,0.097,0.0,12,5,7,-0.745
Lhfp,-0.121,-0.828,-0.013,0.0,10,2,6,-4.081
Atraid,-0.121,-0.231,-0.035,0.0,12,2,7,-1.115
Magohb,-0.121,-0.366,-0.075,0.0,13,1,8,0.067
S100b,-0.121,-0.491,0.045,0.0001,13,5,8,-2.662
Hace1,-0.121,-0.297,0.056,0.0,13,5,8,0.243
Ppih,-0.122,-0.196,-0.018,0.0,13,3,8,-0.129
Spry2,-0.122,-0.297,0.006,0.0,13,4,8,-1.359
Nup54,-0.122,-0.203,-0.018,0.0,13,3,8,0.06
Recql5,-0.122,-0.368,0.119,0.0,11,4,7,-0.104
Kctd11,-0.122,-0.331,0.192,0.0009,10,4,5,-1.6
Mpp7,-0.122,-0.34,0.073,0.0,13,5,8,-0.432
Cdk4,-0.122,-0.179,-0.074,0.0,13,2,8,-0.971
Galnt9,-0.122,-0.374,0.212,0.0047,10,4,6,1.962
Zc3hc1,-0.122,-0.224,0.024,0.0,13,4,8,0.011
Exosc8,-0.122,-0.38,-0.017,0.0,13,2,8,-0.736
Hmgn2,-0.123,-0.249,-0.04,0.0,13,2,8,-1.348
Nol7,-0.123,-0.255,-0.021,0.0,13,2,8,-0.258
Grcc10,-0.123,-0.199,-0.034,0.0,13,2,8,0.314
Tpt1,-0.123,-0.21,-0.024,0.0,13,1,8,-0.784
Sephs2,-0.123,-0.252,-0.049,0.0,12,0,7,0.487
Lor,-0.123,-0.312,0.088,0.0004,10,3,6,1.271
Cdh11,-0.123,-0.325,0.094,0.0,13,5,8,-2.739
Aga,-0.124,-0.253,0.024,0.0,12,4,7,-0.995
Ftl1,-0.124,-0.183,-0.031,0.0,13,2,8,-0.104
Znhit6,-0.124,-0.16,0.008,0.0,13,4,8,0.078
B9d2,-0.124,-0.191,-0.071,0.0,13,2,8,0.15
Rad17,-0.124,-0.222,0.001,0.0,13,4,8,-0.471
Anks1b,-0.124,-0.234,0.004,0.0,13,4,8,0.95
Btg1,-0.124,-0.334,-0.037,0.0,13,3,8,-1.986
Traf2,-0.124,-0.303,0.057,0.0,12,4,7,-1.374
Rpl30,-0.124,-0.223,-0.059,0.0,12,0,7,-0.773
Ak2,-0.124,-0.152,-0.048,0.0,13,3,8,0.349
Anapc13,-0.124,-0.261,-0.027,0.0,13,3,8,-0.256
2310022B05Rik,-0.125,-0.291,0.077,0.0,13,4,8,-1.607
Sat1,-0.125,-0.504,-0.082,0.0,13,1,8,-2.522
Spa17,-0.125,-0.348,-0.061,0.0,13,2,8,0.152
Zfp574,-0.125,-0.482,-0.024,0.0,12,2,7,-0.104
Cib1,-0.125,-0.345,-0.042,0.0,13,2,8,-1.624
Tnni1,-0.126,-0.287,0.021,0.0,10,3,6,1.539
Tsacc,-0.126,-0.421,0.212,0.0,11,3,6,0.458
Rpl10-ps3,-0.126,-0.3,0.027,0.0,10,3,5,-0.171
Nup37,-0.126,-0.525,0.137,0.0,11,4,6,-0.729
Gm5914,-0.126,-0.285,0.023,0.0,11,3,6,0.011
Ddx21,-0.126,-0.216,-0.08,0.0,13,1,8,-0.409
Celf2,-0.126,-0.181,-0.003,0.0,13,3,8,-3.655
Serpine2,-0.126,-0.369,0.117,0.006,13,5,8,-2.63
Gkap1,-0.126,-0.163,0.014,0.0,13,4,8,-0.266
Trmt2a,-0.126,-0.313,0.055,0.0,13,4,8,-0.491
Adi1,-0.127,-0.649,0.057,0.0,12,4,7,-0.936
Abtb1,-0.127,-0.287,0.056,0.0,13,4,8,0.281
Atpaf2,-0.127,-0.172,0.171,0.0,13,4,8,0.216
Atp5g2,-0.127,-0.236,-0.042,0.0,12,2,7,0.176
Snx9,-0.128,-0.212,0.013,0.0,13,4,8,-1.765
Id1,-0.128,-0.177,0.005,0.0,13,4,8,0.306
Cpxm1,-0.128,-0.475,0.201,0.0009,10,4,6,-2.923
Grpel1,-0.128,-0.205,-0.034,0.0,13,2,8,0.144
2700049A03Rik,-0.128,-0.31,0.03,0.0005,13,5,8,-0.565
Usp28,-0.128,-0.252,0.107,0.0011,13,5,8,-0.018
Sgk1,-0.129,-0.285,0.012,0.0,13,5,8,-0.715
Incenp,-0.129,-0.346,0.068,0.0,12,4,7,-1.239
Trmt13,-0.129,-0.415,0.024,0.0,11,4,6,-0.525
Lzic,-0.129,-0.28,-0.025,0.0,12,2,7,-0.529
Qk,-0.13,-0.283,-0.078,0.0,13,3,8,-3.903
Hspb1,-0.13,-0.187,0.002,0.0,13,4,8,-0.09
Akr1b10,-0.13,-0.369,0.052,0.0,13,4,8,-1.214
Mgme1,-0.13,-0.571,0.249,0.0,11,3,6,-1.123
Gng10,-0.13,-0.227,-0.04,0.0001,10,1,6,0.013
Gatc,-0.13,-0.165,0.021,0.0,13,4,8,0.275
Mad2l2,-0.13,-0.197,-0.103,0.0,13,2,8,0.734
Zbtb8os,-0.13,-0.303,0.001,0.0,13,4,8,0.084
Gm2694,-0.13,-0.165,0.063,0.0021,11,3,7,2.539
Cdo1,-0.13,-0.249,-0.026,0.0,10,2,6,-0.314
Gsn,-0.13,-0.374,0.05,0.0,13,4,8,-2.079
Rps13,-0.13,-0.218,-0.081,0.0,13,1,8,-0.269
Ctnna1,-0.13,-0.376,0.108,0.0003,13,4,8,-3.214
Fuom,-0.131,-0.34,-0.092,0.0,12,2,7,0.834
Cdc25a,-0.131,-0.24,0.036,0.0,12,3,7,0.454
Relb,-0.131,-0.382,0.385,0.0085,12,4,7,-2.188
Elovl1,-0.131,-0.286,0.091,0.0,13,5,8,-2.109
Zfp784,-0.131,-0.215,0.026,0.0,10,3,6,0.149
Ybx1,-0.131,-0.296,-0.042,0.0,13,0,8,-0.292
Trmo,-0.131,-0.342,0.157,0.0058,10,3,5,0.077
Lpp,-0.132,-0.334,0.114,0.0,12,4,8,-3.143
Cpne4,-0.132,-0.307,0.171,0.0,11,3,6,1.503
Ddah2,-0.132,-0.219,-0.029,0.0,13,0,8,-0.602
Pcgf5,-0.132,-0.754,0.042,0.0,13,5,8,-1.775
Gtpbp3,-0.132,-0.343,0.069,0.0,13,6,8,0.114
Arhgef6,-0.132,-0.332,0.304,0.0186,10,4,7,-2.594
Galnt14,-0.132,-0.28,0.204,0.0052,10,3,6,1.832
Bin3,-0.132,-0.355,-0.033,0.0,13,3,8,-1.061
Snrpb,-0.132,-0.208,-0.075,0.0,13,2,8,-0.546
Smad1,-0.132,-0.185,0.009,0.0,13,4,8,0.663
Rem2,-0.132,-0.505,0.029,0.0,10,3,5,1.44
Srbd1,-0.132,-0.251,0.05,0.0,13,6,8,-0.191
Nfyb,-0.132,-0.193,-0.023,0.0,13,3,8,-0.363
Ppp1r14c,-0.133,-0.262,0.386,0.0004,13,6,8,-2.789
Pcdh17,-0.133,-0.2,0.227,0.001,13,6,8,-0.165
Acvr2b,-0.133,-0.243,0.055,0.0,12,5,7,-0.077
Erf,-0.133,-0.339,0.055,0.0,12,3,7,-1.343
Lap3,-0.133,-0.205,-0.049,0.0,13,2,8,-0.292
Zfp90,-0.133,-0.268,0.008,0.0,13,4,8,0.18
Ctdspl2,-0.133,-0.243,-0.009,0.0,13,2,8,-1.089
Adat2,-0.133,-0.322,0.012,0.0006,11,3,6,0.292
Rps27a,-0.133,-0.252,-0.03,0.0,13,1,8,-0.137
Zfp692,-0.133,-0.188,0.033,0.0,13,6,8,-0.289
Neto2,-0.134,-0.33,0.027,0.0,12,4,7,0.18
Rell1,-0.134,-0.363,-0.001,0.0,12,3,8,-2.853
Nudt22,-0.134,-0.36,-0.048,0.0,12,2,7,-0.532
Mcm3ap,-0.134,-0.27,0.092,0.0,13,6,8,0.061
1500009C09Rik,-0.135,-0.393,0.072,0.0,10,3,5,2.09
Frmd6,-0.135,-0.309,0.13,0.0,10,4,6,-3.562
Ppp1r14b,-0.135,-0.245,-0.03,0.0,13,3,8,-0.018
Mxd4,-0.135,-0.285,0.009,0.0,13,5,8,-1.96
Rpl12,-0.135,-0.288,-0.111,0.0,13,1,8,-0.345
Gpr146,-0.135,-0.271,0.003,0.0,10,3,7,-1.685
Marcksl1,-0.135,-0.502,-0.048,0.0,12,1,7,-0.238
Spsb2,-0.135,-0.282,0.033,0.0,13,4,8,-0.702
Lig1,-0.135,-0.331,0.023,0.0,13,4,8,-0.759
Nid1,-0.136,-0.248,0.242,0.0074,10,3,6,-4.454
Zfp524,-0.136,-0.254,0.07,0.0,13,5,8,-0.512
Frg1,-0.136,-0.2,-0.045,0.0,13,3,8,-0.207
Eci1,-0.136,-0.214,-0.021,0.0,13,2,8,-1.257
Otud3,-0.136,-0.22,0.159,0.0011,11,5,7,0.102
Olfm3,-0.136,-0.347,0.714,0.0412,11,3,7,1.956
Mknk1,-0.136,-0.263,0.1,0.0,13,4,8,-1.012
Cd320,-0.137,-0.259,0.011,0.0,13,4,8,0.356
Traf4,-0.137,-0.18,0.024,0.0,10,3,5,-0.558
Prdx4,-0.137,-0.233,0.013,0.0,13,4,8,-1.037
Abhd6,-0.137,-0.281,0.004,0.0,13,5,8,-0.056
Fxyd5,-0.137,-0.572,0.148,0.0,13,5,8,0.25
Fdxr,-0.137,-0.269,-0.036,0.0,13,2,8,-0.868
Mettl15,-0.138,-0.255,0.099,0.0008,11,3,6,-1.003
Skil,-0.138,-0.274,-0.004,0.0,13,3,8,-0.048
Ift81,-0.138,-0.304,-0.026,0.0,13,3,8,-0.455
Ppp2r5a,-0.138,-0.351,-0.076,0.0,12,2,7,-1.326
Sat2,-0.138,-0.207,0.044,0.0,13,4,8,-0.031
Adamts5,-0.139,-0.218,0.19,0.0026,13,5,8,-2.611
Ttc32,-0.139,-0.634,-0.038,0.0,10,2,5,-1.16
Zyx,-0.139,-0.321,-0.014,0.0,13,3,8,-0.141
Mybbp1a,-0.139,-0.166,0.11,0.0,13,5,8,-0.66
Sostdc1,-0.139,-0.546,0.262,0.0,11,4,7,-4.769
Hddc3,-0.14,-0.247,0.067,0.0,11,3,6,0.035
N4bp2l1,-0.14,-0.439,0.025,0.0,13,5,8,-0.043
Zfp248,-0.14,-0.196,0.011,0.0,13,4,8,0.6
Ier3,-0.141,-0.32,0.003,0.0,13,4,8,-2.18
Pard6g,-0.141,-0.387,0.107,0.0,10,4,5,-1.6
Llph,-0.141,-0.172,-0.065,0.0,13,1,8,0.045
Syngr2,-0.141,-0.482,0.084,0.0,12,4,7,-1.945
Nle1,-0.141,-0.222,-0.025,0.0,11,2,6,-0.176
Eif6,-0.141,-0.244,-0.025,0.0,13,2,8,-0.012
Egfl7,-0.141,-0.256,0.04,0.0,13,4,8,-0.943
Cep41,-0.141,-0.72,0.003,0.0,10,3,5,-0.254
Ddit3,-0.141,-0.214,-0.095,0.0,13,1,8,-0.481
Cep85,-0.141,-0.407,0.043,0.0,12,4,7,-0.379
Mblac1,-0.141,-0.357,0.186,0.0,11,3,6,0.577
Abt1,-0.142,-0.217,-0.056,0.0,12,2,7,-0.122
Nfil3,-0.142,-0.258,0.217,0.0,13,5,8,-0.426
Ccnyl1,-0.142,-0.723,-0.004,0.0,11,2,7,-0.381
Rhog,-0.142,-0.197,0.202,0.0,13,5,8,-1.791
Nfia,-0.142,-0.278,0.117,0.0,13,5,8,-3.236
1110038F14Rik,-0.142,-0.237,-0.068,0.0,13,1,8,-1.035
Peli1,-0.143,-0.295,-0.008,0.0,13,3,8,-1.007
Adamts1,-0.143,-0.334,0.192,0.0,12,4,7,-4.131
Fh1,-0.143,-0.196,0.029,0.0,13,4,8,0.263
Mospd1,-0.143,-0.412,0.207,0.0,12,4,7,-0.403
Srfbp1,-0.143,-0.291,0.045,0.0,12,3,7,-0.461
Gar1,-0.143,-0.238,-0.098,0.0,13,1,8,-0.198
Avpi1,-0.143,-0.272,-0.032,0.0,13,2,8,-0.045
Fxn,-0.144,-0.187,0.016,0.0,13,4,8,0.264
Rfc4,-0.144,-0.409,0.03,0.0,11,3,6,-0.526
Mmd2,-0.144,-0.389,0.491,0.0359,11,5,8,-4.127
0610010K14Rik,-0.145,-0.33,-0.098,0.0,13,2,8,-0.565
Nkain4,-0.145,-0.609,-0.078,0.0,11,0,7,-3.941
Gadd45a,-0.145,-0.313,-0.077,0.0,13,1,8,-0.916
Sspn,-0.145,-0.351,0.309,0.0001,11,4,6,-1.335
Cep89,-0.145,-0.264,0.133,0.0,12,4,7,-0.94
Zfyve1,-0.146,-0.294,0.15,0.0,13,4,8,-0.089
Zc3h6,-0.146,-0.232,0.097,0.0,13,6,8,-0.006
Tex30,-0.146,-0.251,-0.054,0.0,11,1,6,-0.786
Plcd4,-0.146,-0.21,0.19,0.0004,12,4,7,1.19
Ptprg,-0.146,-0.22,0.181,0.0,12,4,7,0.149
Uxt,-0.146,-0.232,-0.014,0.0,12,3,7,-0.412
Creld2,-0.146,-0.184,0.009,0.0,13,4,8,-1.596
Mtrf1l,-0.146,-0.3,0.148,0.0,12,4,7,-0.068
Ggh,-0.146,-0.418,-0.024,0.0,13,2,8,-1.537
Nmral1,-0.147,-0.234,-0.042,0.0,10,2,5,-0.087
Gtpbp10,-0.147,-0.489,0.012,0.0,10,3,5,-0.63
Myl9,-0.147,-0.762,0.005,0.0,11,3,7,-4.808
Dbndd2,-0.147,-0.182,-0.018,0.0,13,3,8,-0.494
Clic4,-0.148,-0.235,0.003,0.0,13,4,8,-2.217
Dis3,-0.148,-0.327,-0.013,0.0,13,3,8,-0.376
Dhrs4,-0.148,-0.26,-0.07,0.0,13,2,8,-1.718
Pcna,-0.148,-0.404,-0.072,0.0,12,1,7,-1.034
Adgrg1,-0.148,-0.611,0.242,0.0,10,4,6,-2.224
Rbm7,-0.148,-0.29,-0.099,0.0,13,2,8,-1.204
Nav2,-0.148,-0.66,0.062,0.0,11,5,6,-1.667
Ednrb,-0.148,-0.375,0.2,0.0156,13,6,8,-4.348
Amotl2,-0.148,-0.344,0.053,0.0,13,4,8,-2.601
Nxt2,-0.149,-0.317,-0.019,0.0,12,3,7,-1.563
Snrpg,-0.149,-0.431,-0.053,0.0,13,1,8,-0.917
Vps37b,-0.149,-0.414,-0.042,0.0,12,2,7,-2.012
Lactb,-0.149,-0.344,-0.048,0.0,13,3,8,-0.55
Lcmt2,-0.149,-0.417,0.149,0.0,12,4,7,-0.419
Dbi,-0.149,-0.254,-0.109,0.0,13,2,8,-3.699
Sipa1l3,-0.149,-0.5,0.197,0.0,12,5,7,-0.461
Ifi27l2a,-0.149,-0.844,0.256,0.0058,10,3,7,-3.236
2700062C07Rik,-0.149,-0.298,-0.061,0.0,13,0,8,-0.0
Mepce,-0.15,-0.208,0.03,0.0,13,4,8,-0.434
Lsm2,-0.15,-0.271,-0.079,0.0,13,0,8,-0.334
Ptcd1,-0.15,-0.31,0.017,0.0,12,3,7,-0.406
Dtwd1,-0.15,-0.52,0.05,0.0,12,3,7,-0.423
Rnd1,-0.15,-0.354,0.172,0.0,12,5,8,-0.332
Fahd1,-0.15,-0.232,0.143,0.0,13,4,8,0.319
H3f3a,-0.15,-0.225,-0.078,0.0,13,2,8,-0.526
Tnfrsf12a,-0.15,-0.384,0.096,0.0069,12,4,7,-1.682
Mcm6,-0.15,-0.434,-0.086,0.0,12,2,7,-1.588
Soat1,-0.151,-0.546,0.086,0.0,12,3,8,-2.234
B3galt6,-0.151,-0.256,-0.052,0.0,12,2,7,0.406
Sox4,-0.151,-0.196,-0.02,0.0,13,2,8,-0.167
Zfp687,-0.152,-0.296,0.06,0.0,13,6,8,-0.452
Rps27,-0.152,-0.341,-0.043,0.0,12,1,7,-0.901
Fancc,-0.152,-0.404,0.125,0.0,11,3,6,-0.999
Xylt2,-0.152,-0.279,0.353,0.0006,11,4,6,-1.287
S100a13,-0.152,-0.327,0.005,0.0,13,4,8,-1.585
0610030E20Rik,-0.152,-0.403,0.073,0.0,12,4,7,-1.213
Mcur1,-0.152,-0.376,0.028,0.0,11,3,6,-1.061
Gng5,-0.153,-0.349,0.008,0.0,13,4,8,-1.508
Pno1,-0.153,-0.301,-0.088,0.0,13,2,8,0.219
Rpa2,-0.153,-0.366,-0.04,0.0,12,2,7,-1.039
S100a6,-0.154,-0.402,0.019,0.0,13,4,8,-2.99
Exosc2,-0.154,-0.228,-0.025,0.0,13,3,8,0.039
Myl4,-0.154,-0.484,0.156,0.0,11,4,6,-0.126
Rnaset2b,-0.154,-0.307,0.266,0.0014,10,4,7,-1.456
Nos3,-0.154,-0.429,-0.102,0.0,12,1,7,0.032
Ccpg1os,-0.155,-0.283,0.046,0.0,10,4,5,0.036
Zfp442,-0.155,-0.272,0.056,0.0,10,3,5,-0.286
Klhl36,-0.155,-0.304,0.518,0.0243,11,5,6,-1.347
Smim11,-0.155,-0.222,-0.088,0.0,12,2,7,-1.453
Dand5,-0.155,-0.3,-0.019,0.0,13,3,8,0.398
Crem,-0.155,-0.191,-0.114,0.0,13,1,8,0.024
Rnf113a1,-0.155,-0.279,-0.058,0.0,12,2,7,0.606
Rbbp8,-0.156,-0.217,-0.035,0.0,12,2,7,-0.959
Cdca4,-0.157,-0.633,0.097,0.0,12,4,7,-1.021
Dnaaf2,-0.157,-0.247,0.003,0.0,10,3,5,-0.104
Myl12a,-0.157,-0.168,-0.097,0.0,13,1,8,-2.798
Rnf144a,-0.157,-0.222,0.349,0.0058,11,5,7,-0.211
Ppwd1,-0.158,-0.2,0.025,0.0,13,4,8,-1.025
Orai3,-0.158,-0.271,-0.021,0.0,12,2,7,-1.075
Ppp1r15a,-0.159,-0.35,-0.009,0.0,13,3,8,-2.367
Rnf122,-0.159,-0.529,0.03,0.0,12,3,7,-1.521
H2afv,-0.159,-0.32,-0.123,0.0,12,0,7,-1.724
Scrn2,-0.159,-0.27,0.006,0.0002,12,3,7,-0.437
Ass1,-0.16,-0.206,-0.007,0.0,11,1,6,1.159
Dennd2a,-0.16,-0.222,0.113,0.0,11,3,6,-1.359
Sorcs1,-0.16,-0.567,0.172,0.0,12,4,7,-2.476
Kcnab1,-0.161,-0.785,0.223,0.0027,12,5,7,0.115
Lpar6,-0.162,-0.405,0.467,0.047,10,4,7,-2.778
Nr4a1,-0.162,-0.427,-0.069,0.0,13,3,8,-3.554
Npm3,-0.162,-0.296,-0.093,0.0,10,1,5,-1.449
Fosb,-0.162,-0.31,-0.064,0.0,13,3,8,-3.224
Rara,-0.162,-0.391,-0.087,0.0003,11,2,6,-2.016
Wdhd1,-0.163,-0.561,-0.039,0.0,12,3,7,-0.357
Serpina3n,-0.163,-0.354,0.024,0.0004,11,3,7,0.106
Lekr1,-0.163,-0.312,0.128,0.0001,12,5,7,-0.786
Tshz1,-0.163,-0.322,0.061,0.0,12,4,7,-0.908
Slc1a6,-0.163,-0.218,0.523,0.0199,10,4,5,1.575
Fbxo36,-0.164,-0.319,-0.023,0.0,12,2,8,-0.663
Phlda3,-0.164,-0.273,0.016,0.0,13,5,8,-0.531
Slc39a1,-0.164,-0.43,-0.042,0.0,12,3,7,-2.321
Fancl,-0.164,-0.568,0.048,0.0,11,3,6,-0.752
Kank3,-0.165,-0.204,0.037,0.0,11,4,6,-0.873
Itgb3bp,-0.165,-0.406,-0.027,0.0,13,3,8,-0.936
Elk4,-0.165,-0.377,0.036,0.0,12,4,7,-1.831
Gatm,-0.166,-0.209,0.014,0.0,13,5,8,-2.72
Ddit4,-0.166,-0.305,0.054,0.0,12,4,7,-1.75
Dffb,-0.166,-0.284,0.151,0.0,10,4,6,-0.44
Arpp21,-0.167,-0.53,0.063,0.0,11,3,6,1.413
Nfe2l2,-0.168,-0.339,0.012,0.0,13,4,8,-3.263
Triobp,-0.168,-0.237,-0.087,0.0,11,1,6,-1.759
Nt5c,-0.168,-0.201,-0.039,0.0,13,3,8,0.342
Lmnb1,-0.169,-0.333,-0.08,0.0,10,1,6,-2.064
Cntn5,-0.169,-0.622,0.095,0.0001,11,4,6,1.717
Pkib,-0.169,-0.481,-0.013,0.0,13,3,8,0.404
H2-K1,-0.169,-0.224,0.065,0.0,13,4,8,-2.77
Maff,-0.169,-0.406,-0.02,0.0,11,2,6,-1.779
Cish,-0.17,-0.317,0.074,0.0,11,3,7,-0.457
Matn2,-0.17,-0.683,0.554,0.0692,11,5,7,-5.355
Mylip,-0.171,-0.469,0.21,0.0009,10,5,6,-2.105
Gpm6b,-0.171,-0.43,0.209,0.0015,13,4,8,-4.123
Cmtm6,-0.171,-0.252,0.093,0.0,13,6,8,-1.041
Zfp830,-0.171,-0.415,-0.045,0.0,13,3,8,-0.742
Rarg,-0.171,-0.544,0.168,0.0,10,3,7,-2.393
Hpca,-0.172,-0.412,0.153,0.0,13,5,8,1.581
Tbc1d1,-0.172,-0.449,0.25,0.0001,11,3,7,-1.449
Apool,-0.172,-0.306,0.056,0.0,12,4,7,-0.3
Tbx2,-0.172,-0.387,0.072,0.0,13,6,8,0.338
Poll,-0.174,-0.944,0.06,0.0,12,3,7,0.223
Gpr37l1,-0.175,-0.421,0.072,0.001,10,3,8,-4.195
Zfp113,-0.175,-0.599,0.011,0.0,11,3,6,-0.311
